"Subject","SubTrial","Phase.Trial.","Belief.RESP","StatementType","TestItem.RESP","OtherAnswer.RESP","CR.RESP","Alternate","Target","Topic","L2.Recall.Class","L1.Recall.Class","CB","HeadlineType","BeliefBase.RESP","Familiarity.RESP","Attention_Sum","RN_Correct","FN_Intrusion","RN_Ambiguous","RN_Error","Check_1","FN_Correct","RN_Intrusion","FN_Ambiguous","FN_Error","Check_2","Correction_Class_2","Correction_Class_3","Cor_Class_FN_Recall","Cor_Class_No_FN_Recall","No_Cor_Class","Memory_Classification"
101,59,"Test",4,"Correction_Misinfo","Iftheyhaveawarrant","theysaidtheycouldtakeagunforanyreason",1,"At any time","Require a warrant","GunControl_Warrant","2","1",1,"Correction_Misinfo",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,56,"Test",6,"Repeated","1million",NA,0,">12 million",">1 million","Hurricane_Relief","2",NA,1,"Repeated",5,5,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,29,"Test",3,"Correction_Label","decreasedby60Ithink","Itsaiditincreasedby4",1,"Increased by 78%","Dropped by 61%","Illegal_Traffic_Rate","E","E",1,"Correction_Label",4,2,5,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
101,33,"Test",6,"Correction_Misinfo","Hewasplacedinasmallcageforaprotestaboutsepchildren","Theysaidhewasplacedianimalcageafterbeingsepfromparents",1,"Separated from parents","At a protest","Immigration_Boy_Cage","2","1",1,"Correction_Misinfo",5,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,20,"Test",4,"Repeated","60",NA,0,">38%","60%","Liberian_Women","2",NA,1,"Repeated",3,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,32,"Test",4,"Correction","Somethingaboutflagettiquttenotbeingcorrect","Thysaiditsbchedidntwanttosaythepledgeofallegiance",1,"They did not want to pledge allegiance","It did not meet etiquette standards","Library_AmericanFlag","2","1",1,"Correction",2,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,47,"Test",1,"Correction","PASS",NA,0,"Does not alter state or federal benefits","Changes state and federal benefits","Marriage_License_Benefits","E",NA,1,"Correction",3,1,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,35,"Test",5,"Repeated","19",NA,0,"270","19","Mass_Shootings","2",NA,1,"Repeated",5,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,60,"Test",6,"Correction","decreasedby40","theysaidincreaseutIforgottheexactnumber",1,"Decreased by 40%","Decreased by 25%","Mexican_Border_Crossings","1","E",1,"Correction",4,3,5,0,1,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Fake News Intrusion"
101,57,"Test",5,"Correction_Misinfo","everyyearsince1983","Theysaidtheyhaventrecivedaraiseeveryyear",1,"None in 10 years","Every year since 1983","Military_Pay","2","1",1,"Correction_Misinfo",3,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,3,"Test",4,"Correction_Misinfo","TheysuggestthatmostpeoplegomissingtowardsNationalparks","Itsadthatmostpeoplegomissingnearcaves",1,"Cave systems","National parks","Missing_People","2","1",1,"Correction_Misinfo",2,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,11,"Test",4,"Correction","2017",NA,0,"2017","1980","Murder_Year","1",NA,1,"Correction",3,3,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
101,22,"Test",3,"Correction_Label","21billion","Either5millinor5billion",1,"5 billion","2.1 billion","Obama_Website","2","1",1,"Correction_Label",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,8,"Test",4,"Correction","Gunonerswhoclaimechristian",NA,0,"Gun Owners","Gun Manufacturers","Pope_GunControl","1",NA,1,"Correction",2,4,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
101,9,"Test",3,"Correction_Label","BillClinton","TheysaidBarakObamatookthefewest",1,"Obama","Clinton","Pres_Vacation","2","1",1,"Correction_Label",4,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,10,"Test",5,"Correction_Misinfo","2","Theysaiditsettledfor2million",1,"2 million","2","Race_Starbucks","2","1",1,"Correction_Misinfo",3,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,15,"Test",4,"Repeated","2007",NA,0,"1928","2007","Rep_Control","2",NA,1,"Repeated",2,5,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,14,"Test",4,"Correction_Label","Bctheyaretreatingpplwholikelydonthaveinsurance","Bctheydonthavethetechnology",1,"They do not have access to high-speed internet","They serve people who are less likely to have health insurance","Rural_Hospitals","2","E",1,"Correction_Label",4,4,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,4,"Test",4,"Correction","Alittleunder10million","IforgottheexatnumberbutImprettysureitwas38million",1,"About 38 million people","<10 million people.","SKorea_Population","2","1",1,"Correction",3,2,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,17,"Test",4,"Correction_Misinfo","Pass","20million",1,"20 million more","5.8 million more","Soccer_Revenue_Gap","E","1",1,"Correction_Misinfo",4,4,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,48,"Test",5,"Repeated","USMILITARYANTHEMS",NA,0,"Imperial March from ""Star Wars""","U.S. military anthems","StarWars_Trump","2",NA,1,"Repeated",5,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,46,"Test",6,"Correction_Misinfo","3709","370000",1,"360,000","3,709","SwimmingPool_Deaths","2","E",1,"Correction_Misinfo",3,3,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,6,"Test",2,"Repeated","socialprogramslikemedicaid",NA,0,"Military (""War on Terror"")","Social (""Medicare"")","Tax_Allocation","2",NA,1,"Repeated",2,3,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,13,"Test",3,"Repeated","yes",NA,0,"No there is no law","Yes there is a law","Tax_Pres_Law","2",NA,1,"Repeated",3,1,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,55,"Test",5,"Correction_Label","Bystimulatinhittinapedestrian","bydropingabowlingball",1,"Dropping a bowling ball","Simulation of hitting a person","Test_American_Cars","2","1",1,"Correction_Label",3,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,34,"Test",6,"Correction_Misinfo","csomeoneyelledgun","atChrissyieganwasintheaudience",1,"Someone yelled that model Chrissy Teigen was in the audience","Someone yelled the word “gun""","Trump_ChrissyTeigen","2","1",1,"Correction_Misinfo",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,54,"Test",5,"Correction","BernieSanders","MittRomney",1,"Republican Mitt Romney","Democrat Bernie Sanders","Trump_Emotional","2","1",1,"Correction",4,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,19,"Test",3,"Repeated","pass",NA,0,"More than any other president","Less than any since WW2","Trump_Signed_Legislation","E",NA,1,"Repeated",4,2,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,49,"Test",1,"Repeated","PASS",NA,0,"24","329","UN_Resolutions","E",NA,1,"Repeated",4,3,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,45,"Test",6,"Correction_Misinfo","China","UK",1,"The United Kingdom","China","US_Trading_Partner","2","1",1,"Correction_Misinfo",2,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,43,"Test",5,"Correction_Label","alimitednumberofathletes","itsaidallstudentathletesgetanipad",1,"All student-athletes","Given to a limited number of student-athletes","UT_Athletes_Ipad","2","1",1,"Correction_Label",4,2,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,2,"Test",3,"Correction_Label","Courtcouldnotconfirmlinkbetweenvaccinesandautism","Thatthecourtconfirmedlinkbetweenvaccinesandautism",1,"Vaccines cause autism","Do not cause autism","Vaccines_Autism","2","1",1,"Correction_Label",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,39,"Test",4,"Correction_Label","7","Itsaid70",1,"70%","9%","Veteran_Suicide","E","1",1,"Correction_Label",2,1,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,21,"Test",3,"Correction_Misinfo","2012","Ithinkitsaid2016wasthelowestsince1996",1,"lowest since 1996","Higher than 2012","Voter_Turnout","2","1",1,"Correction_Misinfo",5,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,8,"Test",5,"Correction","Prochoiceuntilrecently",NA,0,"Changed from pro choice to pro life","Stayed Pro life","Abortion_Bieber","1",NA,2,"Correction",5,4,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,10,"Test",6,"Correction_Misinfo","1","Phase1said13whichwasincorrect",1,"Third largest export","0.10%","Africa_Revenue","2","E",2,"Correction_Misinfo",5,3,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,5,"Test",1,"Correction_Misinfo","30","Itwas21yearsinsteadof30",1,"30 years","21 years","Alabama_Senate","1","2",2,"Correction_Misinfo",5,4,5,0,1,0,0,1,0,1,0,0,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Fake News Intrusion"
102,19,"Test",5,"Repeated","Endangered",NA,0,"Numbers are strong and healthy","Listed as an endangered species","Alaska_PolarBears","2",NA,2,"Repeated",3,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,12,"Test",6,"Correction_Misinfo","20",NA,0,"20%","6%","Amazon_Rainforest","1",NA,2,"Correction_Misinfo",6,6,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,6,"Test",1,"Repeated","pass",NA,0,"Apple Watch Series 4","AliveCor's KardiaMobile","Apple_Heart_Monitor","E",NA,2,"Repeated",3,3,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,1,"Test",6,"Repeated","TomFord",NA,0,"Americans","Europeans","Automobile_Invention","E",NA,2,"Repeated",2,2,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,22,"Test",5,"Correction_Label","10000000","Priorsaid29000incomeatminimum",1,">$29,000.",">$10,000,000.","Bernie_Tax_Income","2","1",2,"Correction_Label",5,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,52,"Test",4,"Correction_Label","StudentLoans",NA,0,"By attending college","By putting his children through college","Biden_StudentDebt","A",NA,2,"Correction_Label",6,5,5,0,0,1,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,16,"Test",5,"Correction","2004","Priorphasesaid2017insteadof2004",1,"2017","2004","Black_Homeownership","2","1",2,"Correction",4,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,35,"Test",6,"Repeated","150dollars",NA,0,"1 million","1.5","Bloomberg_Campaign_Money","2",NA,2,"Repeated",4,1,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,9,"Test",6,"Correction_Label","Precisgravitationalpull",NA,0,"When the earth's gravitational pull is just right","When the bristles are spread just right","Brooms_Standing","1",NA,2,"Correction_Label",5,5,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,36,"Test",6,"Correction_Label","Downedelectricallines","priorsaidpoorforestmanagement",1,"Bad forest management","Downed electric power lines","Cali_Fires","2","1",2,"Correction_Label",4,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,33,"Test",1,"Correction_Misinfo","pass",NA,0,"Homeowners","Water agencies","Cali_Statelaw","E",NA,2,"Correction_Misinfo",2,1,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,51,"Test",4,"Correction_Misinfo","ninety","Phase1saidnone",1,"0","90","Chess_Players","2","1",2,"Correction_Misinfo",4,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,47,"Test",4,"Correction","Canbereanddeconstructeifhurricanescome",NA,0,"Can be disassembled in the event of a hurricane","Can withstand hurricane-force winds","Cinderella_Castle","1",NA,2,"Correction",4,4,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,7,"Test",6,"Correction_Label","NewZealand","PrioronesaidUSAwhichwasincorrect",1,"United States","New Zealand","Cleanest_Air","2","1",2,"Correction_Label",3,3,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,25,"Test",4,"Correction_Label","3billion","priorsaid5billion",1,"3 Billion","1.4 Billion","Clinton_Nkorea","1","E",2,"Correction_Label",3,1,5,0,1,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Fake News Intrusion"
102,60,"Test",4,"Correction","fifteenth","hase1said2nd",1,"2nd","15th","Coffee","2","1",2,"Correction",6,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,2,"Test",1,"Correction_Label","Itdecreasedit",NA,0,"Sharp decrease","Sharp increase","CoronaBeer_COVID","1",NA,2,"Correction_Label",1,1,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,31,"Test",3,"Repeated","Hesitationfromthesenator",NA,0,"Flooding","Hesitation to respond by governor","Disease_Illinois","2",NA,2,"Repeated",4,3,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,28,"Test",6,"Correction","Moreenergythanwhatsconsumed",NA,0,"More produced","More consumed","Energy_Independence","1",NA,2,"Correction",5,2,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,34,"Test",5,"Correction_Misinfo","Virginia",NA,0,"Virginia","California","Federal_State_Dollars","1",NA,2,"Correction_Misinfo",3,3,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,30,"Test",1,"Correction_Label","pass",NA,0,"Rose 25%","Rose 15%","Gas_2018","E",NA,2,"Correction_Label",2,3,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,27,"Test",5,"Correction","thesnowwontsurpasstheicemeltrate","priorsaidthesnowwouldincrease",1,"Outweighs melting","Does not outweigh melting","Global_Warming_Antarctica","2","1",2,"Correction",3,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,21,"Test",4,"Correction_Misinfo","17","Priorwas25",1,"25%","13%","GunControl_Background","E","1",2,"Correction_Misinfo",4,3,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
102,41,"Test",5,"Repeated","Theyneedawarrant",NA,0,"At any time","Require a warrant","GunControl_Warrant","2",NA,2,"Repeated",5,5,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,54,"Test",5,"Correction","2million",NA,0,">12 million",">1 million","Hurricane_Relief","E",NA,2,"Correction",4,6,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,57,"Test",1,"Correction_Misinfo","pass",NA,0,"Increased by 78%","Dropped by 61%","Illegal_Traffic_Rate","E",NA,2,"Correction_Misinfo",5,5,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,56,"Test",4,"Repeated","Protestagainstchildseperation",NA,0,"Separated from parents","At a protest","Immigration_Boy_Cage","2",NA,2,"Repeated",4,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,50,"Test",3,"Correction","60","Phase1said30",1,">38%","60%","Liberian_Women","2","E",2,"Correction",3,2,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,14,"Test",5,"Correction_Label","Wasntregulation","Phase1initialysaidbecausepeopledidntpledgewhichwasfalse",1,"They did not want to pledge allegiance","It did not meet etiquette standards","Library_AmericanFlag","2","1",2,"Correction_Label",5,3,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,43,"Test",1,"Correction_Label","pass",NA,0,"Does not alter state or federal benefits","Changes state and federal benefits","Marriage_License_Benefits","E",NA,2,"Correction_Label",2,2,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,18,"Test",5,"Correction","17","Priorphasesaid270",1,"270","19","Mass_Shootings","E","1",2,"Correction",5,4,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
102,29,"Test",4,"Correction_Label","27","Priorsaid40",1,"Decreased by 40%","Decreased by 25%","Mexican_Border_Crossings","E","1",2,"Correction_Label",3,1,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
102,53,"Test",1,"Repeated","pass",NA,0,"None in 10 years","Every year since 1983","Military_Pay","E",NA,2,"Repeated",3,2,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,13,"Test",6,"Repeated","NationalParks",NA,0,"Cave systems","National parks","Missing_People","2",NA,2,"Repeated",4,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,37,"Test",3,"Correction_Label","1980","prioraid2017",1,"2017","1980","Murder_Year","2","1",2,"Correction_Label",4,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,46,"Test",4,"Correction_Misinfo","21billion","Priorsaid5billion",1,"5 billion","2.1 billion","Obama_Website","2","1",2,"Correction_Misinfo",5,3,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
102,55,"Test",5,"Correction_Label","gunmanufacturers","Phase1saidguowners",1,"Gun Owners","Gun Manufacturers","Pope_GunControl","2","1",2,"Correction_Label",3,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
