"Subject","SubTrial","Phase.Trial.","Belief.RESP","StatementType","TestItem.RESP","OtherAnswer.RESP","CR.RESP","Alternate","Target","Topic","L2.Recall.Class","L1.Recall.Class","CB","HeadlineType","BeliefBase.RESP","Familiarity.RESP","Attention_Sum","RN_Correct","FN_Intrusion","RN_Ambiguous","RN_Error","Check_1","FN_Correct","RN_Intrusion","FN_Ambiguous","FN_Error","Check_2","Correction_Class_2","Correction_Class_3","Cor_Class_FN_Recall","Cor_Class_No_FN_Recall","No_Cor_Class","Memory_Classification"
101,1,"Test",4,"Repeated","more",NA,0,"More produced","More consumed","Energy_Independence","A",NA,1,"Repeated",6,6,5,0,0,1,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,7,"Test",6,"Misinformation_Label","california","virginia",1,"Virginia","California","Federal_State_Dollars","2","1",1,"Misinformation_Label",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,18,"Test",5,"Correction","25",NA,0,"Rose 25%","Rose 15%","Gas_2018","1",NA,1,"Correction",6,5,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
101,31,"Test",6,"Repeated","ismeltingfasterthancansnow",NA,0,"Outweighs melting","Does not outweigh melting","Global_Warming_Antarctica","2",NA,1,"Repeated",5,6,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,25,"Test",6,"Misinformation_Label","13","25",1,"25%","13%","GunControl_Background","2","1",1,"Misinformation_Label",1,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,59,"Test",6,"Correction_Misinfo","warrent","withoutawarrent",1,"At any time","Require a warrant","GunControl_Warrant","2","1",1,"Correction_Misinfo",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,56,"Test",6,"Repeated","1million",NA,0,">12 million",">1 million","Hurricane_Relief","2",NA,1,"Repeated",6,6,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,29,"Test",6,"Misinformation_Label","67",NA,0,"Increased by 78%","Dropped by 61%","Illegal_Traffic_Rate","E",NA,1,"Misinformation_Label",1,3,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,33,"Test",6,"Correction_Misinfo","duringprotest","duringabordercheck",1,"Separated from parents","At a protest","Immigration_Boy_Cage","2","1",1,"Correction_Misinfo",4,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,20,"Test",6,"Repeated","60",NA,0,">38%","60%","Liberian_Women","2",NA,1,"Repeated",6,5,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,32,"Test",6,"Correction","becauseofitspoorpresentation","theydidnotstandfortheflag",1,"They did not want to pledge allegiance","It did not meet etiquette standards","Library_AmericanFlag","2","1",1,"Correction",3,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,47,"Test",6,"Correction","none",NA,0,"Does not alter state or federal benefits","Changes state and federal benefits","Marriage_License_Benefits","1",NA,1,"Correction",4,2,5,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
101,35,"Test",6,"Repeated","19",NA,0,"270","19","Mass_Shootings","2",NA,1,"Repeated",6,5,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,60,"Test",3,"Correction","25","pass",1,"Decreased by 40%","Decreased by 25%","Mexican_Border_Crossings","2","E",1,"Correction",4,1,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,57,"Test",6,"Correction_Misinfo","pass",NA,0,"None in 10 years","Every year since 1983","Military_Pay","E",NA,1,"Correction_Misinfo",3,4,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,3,"Test",6,"Correction_Misinfo","nationalparks","caves",1,"Cave systems","National parks","Missing_People","2","1",1,"Correction_Misinfo",6,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,11,"Test",3,"Correction","2017","2017",1,"2017","1980","Murder_Year","1","1",1,"Correction",4,4,5,0,1,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Fake News Intrusion"
101,22,"Test",3,"Misinformation_Label","24billion",NA,0,"5 billion","2.1 billion","Obama_Website","E",NA,1,"Misinformation_Label",1,1,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,8,"Test",6,"Correction","gunmakingcompanies","gunowners",1,"Gun Owners","Gun Manufacturers","Pope_GunControl","2","1",1,"Correction",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,9,"Test",6,"Misinformation_Label","billclinton","obama",1,"Obama","Clinton","Pres_Vacation","2","1",1,"Misinformation_Label",1,6,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,10,"Test",6,"Correction_Misinfo","dollars","2million",1,"2 million","2","Race_Starbucks","E","1",1,"Correction_Misinfo",4,1,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,15,"Test",5,"Repeated","2007",NA,0,"1928","2007","Rep_Control","2",NA,1,"Repeated",3,1,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,14,"Test",6,"Misinformation_Label","peopledonthavehealthcare","lowinternetspeeds",1,"They do not have access to high-speed internet","They serve people who are less likely to have health insurance","Rural_Hospitals","2","1",1,"Misinformation_Label",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,4,"Test",6,"Correction","justunder10million","populationwas30million",1,"About 38 million people","<10 million people.","SKorea_Population","2","E",1,"Correction",1,1,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,17,"Test",6,"Correction_Misinfo","56mllion","20million",1,"20 million more","5.8 million more","Soccer_Revenue_Gap","E","1",1,"Correction_Misinfo",6,6,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,48,"Test",6,"Repeated","americanmilitarysongs",NA,0,"Imperial March from ""Star Wars""","U.S. military anthems","StarWars_Trump","2",NA,1,"Repeated",5,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,46,"Test",6,"Correction_Misinfo","3004","360000",1,"360,000","3,709","SwimmingPool_Deaths","E","1",1,"Correction_Misinfo",1,1,5,0,0,0,1,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Other"
101,6,"Test",4,"Repeated","medicare",NA,0,"Military (""War on Terror"")","Social (""Medicare"")","Tax_Allocation","2",NA,1,"Repeated",1,6,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,13,"Test",6,"Repeated","yes",NA,0,"No there is no law","Yes there is a law","Tax_Pres_Law","2",NA,1,"Repeated",6,6,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,55,"Test",6,"Misinformation_Label","withafakepedestrian","bowlingball",1,"Dropping a bowling ball","Simulation of hitting a person","Test_American_Cars","2","1",1,"Misinformation_Label",1,4,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,34,"Test",4,"Correction_Misinfo","someoneyelledgun","amodelshowedup",1,"Someone yelled that model Chrissy Teigen was in the audience","Someone yelled the word “gun""","Trump_ChrissyTeigen","2","1",1,"Correction_Misinfo",1,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,54,"Test",6,"Correction","berniesanders","mikebloomberg",1,"Republican Mitt Romney","Democrat Bernie Sanders","Trump_Emotional","2","E",1,"Correction",4,4,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,19,"Test",4,"Repeated","lessthat",NA,0,"More than any other president","Less than any since WW2","Trump_Signed_Legislation","2",NA,1,"Repeated",4,4,5,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
101,49,"Test",5,"Repeated","pass",NA,0,"24","329","UN_Resolutions","E",NA,1,"Repeated",6,6,5,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
101,45,"Test",6,"Correction_Misinfo","china","englad",1,"The United Kingdom","China","US_Trading_Partner","2","1",1,"Correction_Misinfo",5,1,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,43,"Test",6,"Misinformation_Label","ssmall","every",1,"All student-athletes","Given to a limited number of student-athletes","UT_Athletes_Ipad","2","1",1,"Misinformation_Label",1,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,2,"Test",6,"Misinformation_Label","doesnotcauseautism","itcausesautism",1,"Vaccines cause autism","Do not cause autism","Vaccines_Autism","2","1",1,"Misinformation_Label",1,5,5,1,0,0,0,1,1,0,0,0,1,"Corrected","Fake News Recalled",1,0,0,"Real News Correct"
101,39,"Test",6,"Misinformation_Label","9","8",1,"70%","9%","Veteran_Suicide","2","E",1,"Misinformation_Label",1,1,5,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
101,21,"Test",6,"Correction_Misinfo","1996","2007",1,"lowest since 1996","Higher than 2012","Voter_Turnout","1","E",1,"Correction_Misinfo",6,5,5,0,1,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Fake News Intrusion"
102,8,"Test",3,"Correction","prochoice","pass",1,"Changed from pro choice to pro life","Stayed Pro life","Abortion_Bieber","1","E",2,"Correction",3,2,3,0,1,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Fake News Intrusion"
102,10,"Test",3,"Correction_Misinfo","1","theprecent",1,"Third largest export","0.10%","Africa_Revenue","2","E",2,"Correction_Misinfo",4,2,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,5,"Test",1,"Correction_Misinfo","32",NA,0,"30 years","21 years","Alabama_Senate","E",NA,2,"Correction_Misinfo",4,2,3,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,19,"Test",3,"Repeated","endanger","globlewarming",1,"Numbers are strong and healthy","Listed as an endangered species","Alaska_PolarBears","2","E",2,"Repeated",6,4,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,12,"Test",4,"Correction_Misinfo","pass",NA,0,"20%","6%","Amazon_Rainforest","E",NA,2,"Correction_Misinfo",4,2,3,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,6,"Test",3,"Repeated","pass","pass",1,"Apple Watch Series 4","AliveCor's KardiaMobile","Apple_Heart_Monitor","E","E",2,"Repeated",NA,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,1,"Test",4,"Repeated","europen",NA,1,"Americans","Europeans","Automobile_Invention","2","E",2,"Repeated",4,1,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,22,"Test",2,"Misinformation_Label","pass","pass",1,">$29,000.",">$10,000,000.","Bernie_Tax_Income","E","E",2,"Misinformation_Label",2,5,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,52,"Test",4,"Misinformation_Label","pass","pass",1,"By attending college","By putting his children through college","Biden_StudentDebt","E","E",2,"Misinformation_Label",1,3,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,16,"Test",4,"Correction","2004","theyear",1,"2017","2004","Black_Homeownership","2","E",2,"Correction",3,2,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,35,"Test",3,"Repeated","pass","pass",1,"1 million","1.5","Bloomberg_Campaign_Money","E","E",2,"Repeated",3,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,9,"Test",3,"Misinformation_Label","ifthebottomwasspendoutevenly","theplacing",1,"When the earth's gravitational pull is just right","When the bristles are spread just right","Brooms_Standing","2","2",2,"Misinformation_Label",1,5,3,1,0,0,0,1,0,1,0,0,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,36,"Test",3,"Misinformation_Label","thewires","pass",1,"Bad forest management","Downed electric power lines","Cali_Fires","2","E",2,"Misinformation_Label",1,3,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,33,"Test",3,"Correction_Misinfo","congress","pass",1,"Homeowners","Water agencies","Cali_Statelaw","E","E",2,"Correction_Misinfo",NA,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,51,"Test",3,"Correction_Misinfo","2","pass",1,"0","90","Chess_Players","E","E",2,"Correction_Misinfo",2,3,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,47,"Test",3,"Correction","horrucai","theholdupduringstorms",1,"Can be disassembled in the event of a hurricane","Can withstand hurricane-force winds","Cinderella_Castle","A","2",2,"Correction",5,3,3,0,0,1,0,1,0,1,0,0,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,7,"Test",5,"Misinformation_Label","demark","theplace",1,"United States","New Zealand","Cleanest_Air","E","E",2,"Misinformation_Label",2,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,25,"Test",4,"Misinformation_Label","9million",NA,0,"3 Billion","1.4 Billion","Clinton_Nkorea","E",NA,2,"Misinformation_Label",1,2,3,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,60,"Test",3,"Correction","2",NA,0,"2nd","15th","Coffee","1",NA,2,"Correction",4,5,3,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,2,"Test",3,"Misinformation_Label","decrease",NA,0,"Sharp decrease","Sharp increase","CoronaBeer_COVID","1",NA,2,"Misinformation_Label",3,3,3,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,31,"Test",3,"Repeated","pass","pass",1,"Flooding","Hesitation to respond by governor","Disease_Illinois","E","E",2,"Repeated",3,3,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,28,"Test",3,"Correction","90","80",1,"More produced","More consumed","Energy_Independence","E","E",2,"Correction",3,2,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,34,"Test",3,"Correction_Misinfo","california","thestate",1,"Virginia","California","Federal_State_Dollars","2","E",2,"Correction_Misinfo",3,1,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,30,"Test",2,"Misinformation_Label","25",NA,0,"Rose 25%","Rose 15%","Gas_2018","1",NA,2,"Misinformation_Label",3,1,3,0,1,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Fake News Intrusion"
102,27,"Test",3,"Correction","pass","pass",1,"Outweighs melting","Does not outweigh melting","Global_Warming_Antarctica","E","E",2,"Correction",2,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,21,"Test",3,"Correction_Misinfo","13",NA,0,"25%","13%","GunControl_Background","2",NA,2,"Correction_Misinfo",3,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,41,"Test",3,"Repeated","wrants","pass",1,"At any time","Require a warrant","GunControl_Warrant","2","E",2,"Repeated",NA,4,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,54,"Test",4,"Correction","1million","theamountofhomelesspeople",1,">12 million",">1 million","Hurricane_Relief","2","E",2,"Correction",4,5,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,57,"Test",3,"Correction_Misinfo","pass","pass",1,"Increased by 78%","Dropped by 61%","Illegal_Traffic_Rate","E","E",2,"Correction_Misinfo",3,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,56,"Test",4,"Repeated","theshowhowkidswereseperatefromtheirparents","thewaythewritethestatment",1,"Separated from parents","At a protest","Immigration_Boy_Cage","2","E",2,"Repeated",5,1,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,50,"Test",3,"Correction","80","thepercentofgirlsthatcanread",1,">38%","60%","Liberian_Women","E","E",2,"Correction",4,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,14,"Test",4,"Misinformation_Label","pass","paww",1,"They did not want to pledge allegiance","It did not meet etiquette standards","Library_AmericanFlag","E","E",2,"Misinformation_Label",1,2,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,43,"Test",3,"Misinformation_Label","pass",NA,0,"Does not alter state or federal benefits","Changes state and federal benefits","Marriage_License_Benefits","E",NA,2,"Misinformation_Label",1,5,3,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,18,"Test",2,"Correction","290",NA,0,"270","19","Mass_Shootings","E",NA,2,"Correction",4,1,3,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,29,"Test",2,"Misinformation_Label","pass",NA,0,"Decreased by 40%","Decreased by 25%","Mexican_Border_Crossings","E",NA,2,"Misinformation_Label",3,2,3,0,0,0,1,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Other"
102,53,"Test",3,"Repeated","all","pass",1,"None in 10 years","Every year since 1983","Military_Pay","E","E",2,"Repeated",3,2,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,13,"Test",3,"Repeated","nuturalparks",NA,0,"Cave systems","National parks","Missing_People","2",NA,2,"Repeated",6,5,3,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,37,"Test",3,"Misinformation_Label","70","2019",1,"2017","1980","Murder_Year","E","E",2,"Misinformation_Label",1,3,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,46,"Test",4,"Correction_Misinfo","5million","theamount",1,"5 billion","2.1 billion","Obama_Website","E","E",2,"Correction_Misinfo",3,2,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,55,"Test",4,"Misinformation_Label","peoplewhomakegunsadcallthemselveschristians","pass",1,"Gun Owners","Gun Manufacturers","Pope_GunControl","2","E",2,"Misinformation_Label",1,1,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,40,"Test",3,"Correction_Misinfo","bill",NA,0,"Obama","Clinton","Pres_Vacation","2",NA,2,"Correction_Misinfo",4,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,49,"Test",3,"Repeated","2","pass",1,"2 million","2","Race_Starbucks","2","E",2,"Repeated",NA,1,3,1,0,0,0,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Real News Correct"
102,4,"Test",4,"Correction","2008","2008",1,"1928","2007","Rep_Control","E","E",2,"Correction",4,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,3,"Test",5,"Correction_Misinfo","peoplenotbeabletpayforcare",NA,0,"They do not have access to high-speed internet","They serve people who are less likely to have health insurance","Rural_Hospitals","2",NA,2,"Correction_Misinfo",5,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,"Not Corrected","Not a Correction",0,0,1,"Real News Correct"
102,39,"Test",3,"Misinformation_Label","pass","pass",1,"About 38 million people","<10 million people.","SKorea_Population","E","E",2,"Misinformation_Label",1,3,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
102,15,"Test",3,"Repeated","9050","theamount",1,"20 million more","5.8 million more","Soccer_Revenue_Gap","E","E",2,"Repeated",4,1,3,0,0,0,1,1,0,0,0,1,1,"Corrected","Correction + Fake News Not Recalled",0,1,0,"Other"
